g_abs,bp_rp
6.764700806763567,1.4052086
6.372342821254691,1.1897221
5.709704053927327,1.1329355
5.325789245540786,1.0224867
5.033799066637947,1.0075178
1.6424468980555993,2.866313
3.8151103676592903,0.8435888
6.715515681998461,1.4600449
4.919040790823285,0.8517809
4.8637236315625465,0.8500004
5.926696801723038,1.1748924
5.336203226697398,1.0014515
4.378908692949748,1.0078354
6.2757703378349206,1.3376093
3.673638625706877,2.1192884
5.879162463174907,1.1812563
5.548747253124313,1.0786448
8.237769177132304,1.8859339
7.321296255473708,2.0021772
8.43770761196938,2.0259275
7.054009439310349,1.7076187
9.904999620451921,2.618948
4.79281146210349,0.9667921
4.339497613798379,0.84903526
7.063225904655152,1.5329609
5.152074397836703,1.0572634
5.357975215149072,1.0209236
6.795477353196617,1.2943401
6.839802355943519,1.2283363
4.670324380721954,0.8541088
1.9471742441644597,0.97657585
8.482170605499661,2.0988026
1.9802930895509245,0.4665928
4.260676511258531,0.8340292
7.2202225430355575,1.5537376
6.497635695283776,1.2007065
5.0830380521640475,0.9436321
6.191207551052344,1.2168016
9.919082002419941,2.4353924
5.881365721697236,1.2888594
7.9837334884522235,2.1683397
7.183881329064533,1.2484379
7.006268465160311,1.4581251
3.7274096368286713,0.82292366
3.2998398997346605,1.1551561
5.119165410503724,0.9317856
11.113970470036197,2.6718082
8.128971859041979,1.9975986
5.314466461134852,1.0257177
7.118120170397287,1.4883375
3.948413391713016,0.841815
3.9632226792392657,0.854764
2.5251359045091064,1.4614992
2.1789814923288944,1.5472946
5.616281677809296,1.0594797
1.30141602839727,0.64607525
3.451820211777278,1.0548468
5.394082425933638,1.3634462
3.3569792149867705,0.8292837
3.1819087337865017,1.0177469
7.3399771648722805,1.6711731
5.828179071875049,1.1273165
7.231411864173175,1.5116501
3.6176611786950996,1.3095474
9.024946389566672,2.1990433
4.084556092811722,1.1319952
7.284284806716286,1.6758518
5.6831505333541426,1.1237392
8.166712455308346,1.8546982
5.128709358205635,0.97853947
5.6846086727492935,1.0201845
6.046847778028866,1.2156534
4.173249623847894,0.95756054
3.2987458342912745,0.75491714
